  iter           loss   elapsed_time
  5323         1.1676    00:00:03:05
  5333         1.1089    00:00:03:05
  5343         1.0999    00:00:03:05
  5353         1.1266    00:00:03:06
  5363         1.2177    00:00:03:06
  5373         1.0159    00:00:03:06
  5383         1.0260    00:00:03:06
  5393         0.9993    00:00:03:06
  5403         1.0399    00:00:03:06
  5413         1.1613    00:00:03:07
  5423         1.0083    00:00:03:07
  5433         1.1946    00:00:03:07
  5443         1.0738    00:00:03:07
  5453         0.9279    00:00:03:07
  5463         1.0048    00:00:03:07
  5473         1.0884    00:00:03:08
  5474         0.9533    00:00:03:15
  5484         1.0967    00:00:03:15
  5494         1.0802    00:00:03:15
  5504         0.9871    00:00:03:15
  5514         0.8295    00:00:03:15
  5524         1.0690    00:00:03:16
  5534         1.1171    00:00:03:16
  5544         1.3035    00:00:03:16
  5554         0.9750    00:00:03:16
  5564         0.9821    00:00:03:16
  5574         1.0500    00:00:03:16
  5584         1.2913    00:00:03:17
  5594         1.0118    00:00:03:17
  5604         1.0652    00:00:03:17
  5614         1.0962    00:00:03:17
  5624         1.1960    00:00:03:17
  5634         0.9997    00:00:03:17
  5644         0.9927    00:00:03:18
  5654         0.9254    00:00:03:18
  5664         1.1493    00:00:03:18
  5674         1.1178    00:00:03:18
  5684         1.1735    00:00:03:18
  5694         1.0916    00:00:03:18
  5704         1.0048    00:00:03:19
  5714         0.9640    00:00:03:19
  5724         1.0258    00:00:03:19
  5734         0.9275    00:00:03:19
  5744         1.0418    00:00:03:19
  5754         1.0743    00:00:03:19
  5764         0.9701    00:00:03:20
  5774         0.9813    00:00:03:20
  5784         1.0681    00:00:03:20
  5794         1.2554    00:00:03:20
  5804         1.1484    00:00:03:20
  5814         1.1560    00:00:03:20
  5824         0.9274    00:00:03:21
  5834         1.1464    00:00:03:21
  5844         1.1055    00:00:03:21
  5854         1.1485    00:00:03:21
  5864         0.9659    00:00:03:21
  5865         1.0431    00:00:03:29
  5875         1.0392    00:00:03:29
  5885         1.0129    00:00:03:29
  5895         1.1271    00:00:03:29
  5905         1.0819    00:00:03:29
  5915         1.0794    00:00:03:29
  5925         0.8595    00:00:03:29
  5935         1.1237    00:00:03:30
  5945         1.3096    00:00:03:30
  5955         1.1419    00:00:03:30
  5965         1.0869    00:00:03:30
  5975         1.1251    00:00:03:30
  5985         0.9850    00:00:03:30
  5995         1.0561    00:00:03:31
  6005         1.1128    00:00:03:31
  6015         1.2282    00:00:03:31
  6025         1.0543    00:00:03:31
  6035         0.9254    00:00:03:31
  6045         1.0406    00:00:03:31
  6055         0.8563    00:00:03:32
  6065         0.9707    00:00:03:32
  6075         1.0804    00:00:03:32
  6085         1.2012    00:00:03:32
  6095         0.8558    00:00:03:32
  6105         0.9396    00:00:03:32
  6115         1.1476    00:00:03:33
  6125         0.8548    00:00:03:33
  6135         0.8994    00:00:03:33
  6145         1.1052    00:00:03:33
  6155         1.1523    00:00:03:33
  6165         1.1598    00:00:03:34
  6175         0.9352    00:00:03:34
  6185         1.0472    00:00:03:34
  6195         0.9488    00:00:03:34
  6205         0.9627    00:00:03:34
  6215         1.1535    00:00:03:34
  6225         1.1124    00:00:03:35
  6235         0.9472    00:00:03:35
  6245         1.0308    00:00:03:35
  6255         1.1754    00:00:03:35
  6256         0.9192    00:00:03:42
  6266         1.0394    00:00:03:42
  6276         0.9111    00:00:03:43
  6286         0.8949    00:00:03:43
  6296         1.1309    00:00:03:43
  6306         0.9528    00:00:03:43
  6316         0.8072    00:00:03:43
  6326         1.1507    00:00:03:43
  6336         0.9736    00:00:03:44
  6346         1.0058    00:00:03:44
  6356         0.9587    00:00:03:44
  6366         0.8498    00:00:03:44
  6376         1.0175    00:00:03:44
  6386         1.2130    00:00:03:44
  6396         1.0393    00:00:03:45
  6406         0.8499    00:00:03:45
  6416         0.9382    00:00:03:45
  6426         0.9940    00:00:03:45
  6436         1.1179    00:00:03:45
  6446         1.2244    00:00:03:45
  6456         1.0175    00:00:03:46
  6466         1.1254    00:00:03:46
  6476         1.0783    00:00:03:46
  6486         1.0414    00:00:03:46
  6496         0.9387    00:00:03:46
  6506         1.0851    00:00:03:46
  6516         1.0434    00:00:03:47
  6526         1.0341    00:00:03:47
  6536         1.0931    00:00:03:47
  6546         1.0822    00:00:03:47
  6556         1.2450    00:00:03:47
  6566         1.1074    00:00:03:47
  6576         0.9568    00:00:03:48
  6586         1.0590    00:00:03:48
  6596         0.9375    00:00:03:48
  6606         0.9458    00:00:03:48
  6616         0.9119    00:00:03:48
  6626         1.0676    00:00:03:48
  6636         1.1812    00:00:03:49
  6646         1.0285    00:00:03:49
  6647         0.9964    00:00:03:56
  6657         1.2212    00:00:03:56
  6667         0.9885    00:00:03:56
  6677         0.9738    00:00:03:57
  6687         1.0638    00:00:03:57
  6697         1.0659    00:00:03:57
  6707         0.9143    00:00:03:57
  6717         0.9543    00:00:03:57
  6727         0.9915    00:00:03:57
  6737         1.0558    00:00:03:58
  6747         1.0251    00:00:03:58
  6757         1.0987    00:00:03:58
  6767         0.8918    00:00:03:58
  6777         1.0507    00:00:03:58
  6787         1.1473    00:00:03:58
  6797         1.0083    00:00:03:58
  6807         1.1188    00:00:03:59
  6817         1.1812    00:00:03:59
  6827         1.1843    00:00:03:59
  6837         1.0016    00:00:03:59
  6847         1.0171    00:00:03:59
  6857         1.0729    00:00:03:59
  6867         1.0645    00:00:04:00
  6877         1.1857    00:00:04:00
  6887         0.9934    00:00:04:00
  6897         1.0140    00:00:04:00
  6907         1.1090    00:00:04:00
  6917         0.8357    00:00:04:01
  6927         1.0244    00:00:04:01
  6937         1.0296    00:00:04:01
  6947         0.8508    00:00:04:01
  6957         1.0077    00:00:04:01
  6967         1.0289    00:00:04:01
  6977         0.9901    00:00:04:01
  6987         1.1121    00:00:04:02
  6997         1.0688    00:00:04:02
  7007         0.9425    00:00:04:02
  7017         1.0501    00:00:04:02
  7027         0.9672    00:00:04:02
  7037         1.0269    00:00:04:02
  7038         1.2345    00:00:04:10
  7048         0.9681    00:00:04:10
  7058         0.9843    00:00:04:10
  7068         0.9675    00:00:04:10
  7078         1.0479    00:00:04:10
  7088         1.0313    00:00:04:11
  7098         1.1526    00:00:04:11
  7108         0.9888    00:00:04:11
  7118         1.0336    00:00:04:11
  7128         1.0027    00:00:04:11
  7138         0.9874    00:00:04:11
  7148         1.1850    00:00:04:12
  7158         0.8936    00:00:04:12
  7168         0.9847    00:00:04:12
  7178         0.9685    00:00:04:12
  7188         1.0184    00:00:04:12
  7198         0.8216    00:00:04:12
  7208         1.0047    00:00:04:13
  7218         0.8938    00:00:04:13
  7228         0.9788    00:00:04:13
  7238         1.1241    00:00:04:13
  7248         1.0605    00:00:04:13
  7258         1.0304    00:00:04:13
  7268         1.0462    00:00:04:14
  7278         1.1727    00:00:04:14
  7288         0.9612    00:00:04:14
  7298         1.0895    00:00:04:14
  7308         1.0046    00:00:04:14
  7318         0.8875    00:00:04:14
  7328         0.9697    00:00:04:15
  7338         0.9542    00:00:04:15
  7348         0.8965    00:00:04:15
  7358         0.8794    00:00:04:15
  7368         1.0025    00:00:04:15
  7378         1.1446    00:00:04:15
  7388         1.0275    00:00:04:15
  7398         1.0014    00:00:04:16
  7408         0.8771    00:00:04:16
  7418         0.7917    00:00:04:16
  7428         0.9601    00:00:04:16
  7429         0.9128    00:00:04:23
  7439         0.9961    00:00:04:24
  7449         1.0666    00:00:04:24
  7459         1.0286    00:00:04:24
  7469         1.2722    00:00:04:24
  7479         1.2203    00:00:04:24
  7489         1.1426    00:00:04:24
  7499         1.0597    00:00:04:25
  7509         0.9799    00:00:04:25
  7519         1.1323    00:00:04:25
  7529         0.9156    00:00:04:25
  7539         0.9423    00:00:04:25
  7549         0.8071    00:00:04:25
  7559         0.8497    00:00:04:26
  7569         1.1528    00:00:04:26
  7579         0.8746    00:00:04:26
  7589         1.1391    00:00:04:26
  7599         0.8964    00:00:04:26
  7609         0.8265    00:00:04:26
  7619         0.9502    00:00:04:27
  7629         1.0338    00:00:04:27
  7639         0.9786    00:00:04:27
  7649         1.0309    00:00:04:27
  7659         0.8831    00:00:04:27
  7669         1.0406    00:00:04:27
  7679         0.9497    00:00:04:28
  7689         1.0217    00:00:04:28
  7699         1.1411    00:00:04:28
  7709         1.1563    00:00:04:28
  7719         0.9920    00:00:04:28
  7729         1.0572    00:00:04:28
  7739         0.9115    00:00:04:28
  7749         1.1086    00:00:04:29
  7759         0.9966    00:00:04:29
  7769         0.8831    00:00:04:29
  7779         1.1084    00:00:04:29
  7789         1.0750    00:00:04:29
  7799         1.0157    00:00:04:29
  7809         0.9266    00:00:04:30
  7819         1.1576    00:00:04:30
  7820         0.9115    00:00:04:37
  7830         0.8881    00:00:04:37
  7840         1.1768    00:00:04:37
  7850         1.1077    00:00:04:38
  7860         1.0692    00:00:04:38
  7870         1.0611    00:00:04:38
  7880         0.9103    00:00:04:38
  7890         1.2173    00:00:04:38
  7900         0.8176    00:00:04:38
  7910         0.9374    00:00:04:39
  7920         1.1343    00:00:04:39
  7930         1.0739    00:00:04:39
  7940         0.9681    00:00:04:39
  7950         1.0524    00:00:04:39
  7960         1.1193    00:00:04:39
  7970         0.8611    00:00:04:40
  7980         0.8645    00:00:04:40
  7990         1.0358    00:00:04:40
  8000         0.9023    00:00:04:40
  8010         1.0971    00:00:04:40
  8020         0.9310    00:00:04:40
  8030         0.9574    00:00:04:41
  8040         0.7911    00:00:04:41
  8050         1.0636    00:00:04:41
  8060         0.9423    00:00:04:41
  8070         1.1017    00:00:04:41
  8080         0.9859    00:00:04:41
